item_code,eur_fob,matched,match_strategy,cbm,cbm_method,landed_thb,landed_thb_raw,logistics_pct,logistics_clamp,retail_thb,retail_usd,retail_eur,retail_sgd,freight_thb,duty_thb,vat_thb,note,family,family_discount,recommended_nok,net_nok,description
4561 EXT 1002,415.67048739999996,False,flat_uplift,0.0,flat_uplift,28923.36,25532.09,0.8,floored,44211.42,1239.98,1068.87,1587.06,5623.986362530572,2169.25,1670.32,,"Fully welded, and powdercoated activity bars and turning pads",0.3,6386.0,4470.2,Hopper™ rack for loose fills
4561 EXT-1 1002,599.3570072,False,flat_uplift,0.0,flat_uplift,37070.85,36814.83,0.6,floored,56665.44,1589.27,1369.96,2034.12,8109.24936207039,3127.85,2408.45,,"Fully welded, and powdercoated activity bars and turning pads",0.3,9208.0,6445.6,Hopper™ turning pads for loose fills
4556 9001,2494.0229244,False,flat_uplift,0.0,flat_uplift,153192.56,153192.56,0.5889,,234165.77,6567.53,5661.25,8405.86,33743.91817518344,13015.51,10021.94,,"Powder coated climbing pole, with bell on top",0.3,38316.0,26821.2,"Rampit Storm | Climbing pole, inkl anchoring system"
4560 6011,2202.0902379,False,flat_uplift,0.0,flat_uplift,135260.94,135260.94,0.589,,206756.01,5798.78,4998.59,7421.93,29794.093741116783,11492.01,8848.85,,Powder coated balance arch,0.3,33831.0,23681.7,Rampbow | Balance arch
4560 6011 EXT,2505.9345591,False,flat_uplift,0.0,flat_uplift,153924.22,153924.22,0.5889,,235284.16,6598.9,5688.29,8446.01,33905.08158018549,13077.67,10069.81,,Powder coated balance arch,0.3,38499.0,26949.3,Rampbow | Balance arch for loose fills
FB33,1144.6420739,False,flat_uplift,0.0,flat_uplift,70797.3,70308.35,0.6,floored,108218.73,3035.16,2616.32,3884.73,15486.909965290724,5973.52,4599.61,,"Individually adapted bench that floats and rolls through the landscape, inspiring the user to creative physical movements",0.15,14482.0,12309.7,FloatingBench™ |  Acticity bench incl installation. Minimum delivery is 30 lm (unit = meter)
FB33LED,393.613971,False,flat_uplift,0.0,flat_uplift,27388.61,24177.3,0.8,floored,41865.45,1174.18,1012.15,1502.85,5325.563570442468,2054.15,1581.69,,"Individually adapted bench that floats and rolls through the landscape, inspiring the user to creative physical movements",0.15,4980.0,4233.0,LED-strip| incl. drivers (unit = meter)
FB33-1,1934.873496,False,flat_uplift,0.0,flat_uplift,119673.94,118847.45,0.6,floored,182930.17,5130.55,4422.57,6566.65,26178.67393663284,10097.49,7775.07,,"Individually adapted bench that floats and rolls through the landscape, inspiring the user to creative physical movements",0.15,20808.0,20808.0,Customization/site addaption
FB33-2,1934.873496,False,flat_uplift,0.0,flat_uplift,119673.94,118847.45,0.6,floored,182930.17,5130.55,4422.57,6566.65,26178.67393663284,10097.49,7775.07,,"Individually adapted bench that floats and rolls through the landscape, inspiring the user to creative physical movements",0.15,20808.0,20808.0,Rigging & Operation
SD 02,6.769453599999999,False,flat_uplift,0.0,flat_uplift,471.03,415.81,0.8,floored,720.0,20.19,17.41,25.85,91.59013180444401,35.33,27.2,,SHOCKDECK™,0.3,104.0,72.8,ShockDeck™ U-piece | shock absorbing component of natural rubber
BP 01,31942.429305,False,flat_uplift,0.0,flat_uplift,1962027.98,1962027.98,0.5889,,2999099.91,84114.25,72507.03,107658.81,432178.3533901593,166697.36,128356.97,,SHOCKDECK™,0.3,367052.0,343515.0,Kangaaro
BP 01 LF,32486.961177,False,flat_uplift,0.0,flat_uplift,1995475.24,1995475.24,0.5889,,3050226.44,85548.17,73743.08,109494.1,439545.8233331102,169539.1,130545.11,,SHOCKDECK™,0.3,375418.0,349371.0,- for installation in grass/loose fills
BP 01 AG,31942.429305,False,flat_uplift,0.0,flat_uplift,1962027.98,1962027.98,0.5889,,2999099.91,84114.25,72507.03,107658.81,432178.3533901593,166697.36,128356.97,,SHOCKDECK™,0.3,367052.0,343515.0,- for installation in artificial grass
BP 03,18265.529397,False,flat_uplift,0.0,flat_uplift,1121939.7,1121939.7,0.5889,,1714964.97,48098.76,41461.45,61562.17,247131.06017141126,95321.98,73397.92,,SHOCKDECK™,0.3,262946.0,196431.0,Jane Jump
BP 03 LF,19410.385341,False,flat_uplift,0.0,flat_uplift,1192261.21,1192261.21,0.589,,1822456.42,51113.52,44060.19,65420.79,262620.86378097616,101296.62,77998.4,,SHOCKDECK™,0.3,280535.0,208743.0,- for installation in grass/loose fills
BP 03 AG,18605.024934,False,flat_uplift,0.0,flat_uplift,1142792.84,1142792.84,0.5889,,1746840.48,48992.76,42232.08,62706.4,251724.4059299007,97093.7,74762.15,,SHOCKDECK™,0.3,268162.0,200082.0,- for installation in artificial grass
BP 05,14832.542344,False,flat_uplift,0.0,flat_uplift,911072.31,911072.31,0.5889,,1392639.1,39058.65,33668.81,49991.62,200683.0371482208,77406.31,59602.86,,SHOCKDECK™,0.3,227875.0,159512.0,Monkey Business
BP 05 LF,15621.537039,False,flat_uplift,0.0,flat_uplift,959535.44,959535.44,0.589,,1466718.46,41136.32,35459.77,52650.85,211358.06830702175,81523.83,62773.35,,SHOCKDECK™,0.3,239996.0,167997.0,- for installation in grass/loose fills
BP 05 AG,14832.542344,False,flat_uplift,0.0,flat_uplift,911072.31,911072.31,0.5889,,1392639.1,39058.65,33668.81,49991.62,200683.0371482208,77406.31,59602.86,,SHOCKDECK™,0.3,227875.0,159512.0,- for installation in artificial grass
BP 06,54960.245311,False,flat_uplift,0.0,flat_uplift,3375871.58,3375871.58,0.5889,,5160260.84,144727.25,124755.83,185238.09,743607.4474369786,286820.02,220851.41,,SHOCKDECK™,0.3,773685.0,591053.0,All'In
BP 06 LF,58233.573685,False,flat_uplift,0.0,flat_uplift,3576932.11,3576932.11,0.5889,,5467596.23,153346.93,132186.05,196270.52,787895.3021042868,303902.47,234004.9,,SHOCKDECK™,0.3,823973.0,626255.0,- for installation in grass/loose fills
BP 06 AG,55817.027529,False,flat_uplift,0.0,flat_uplift,3428498.47,3428498.47,0.5889,,5240704.8,146983.42,126700.67,188125.79,755199.6380200302,291291.29,224294.29,,SHOCKDECK™,0.3,786848.0,600267.0,- for installation in artificial grass
BP 08,32586.178306,False,flat_uplift,0.0,flat_uplift,2001569.55,2001569.55,0.589,,3059542.03,85809.44,73968.3,109828.5,440888.22265502415,170056.89,130943.8,,SHOCKDECK™,0.3,500626.0,350438.0,The floor is lava
BP 08 LF,37028.539244,False,flat_uplift,0.0,flat_uplift,2274436.6,2274436.6,0.589,,3476638.8,97507.54,84052.14,124801.04,500992.9885454844,193240.15,148794.92,,SHOCKDECK™,0.3,568874.0,398212.0,- for installation in grass/loose fills
BP 08 AG,34020.502781,False,flat_uplift,0.0,flat_uplift,2089671.32,2089671.32,0.5889,,3194211.87,89586.46,77224.11,114662.75,460294.5108841937,177542.17,136707.47,,SHOCKDECK™,0.3,522662.0,365863.0,- for installation in artificial grass
BP 10,10584.989171,False,flat_uplift,0.0,flat_uplift,650171.12,650171.12,0.589,,993833.0,27873.54,24027.17,35675.66,143214.0037595505,55239.69,42534.56,,SHOCKDECK™,0.3,162619.0,113833.0,Don't step ….
