handle,item_code,name,dimension,product_group,unit,list_eur,eur_fob,cbm,cbm_method,landed_thb,landed_thb_raw,logistics_pct,logistics_clamp,retail_thb,retail_usd,retail_eur,retail_sgd,freight_thb,duty_thb,vat_thb
4soft-l1-01g-05,L1-01G-05,3D Stone (brown) with number 7 (beige),3D,L-3D nature,each,147.0,117.6,0.0,flat_uplift,8189.71,7229.47,0.8,floored,14604.98,410.46,352.8,524.8,1592.4433560000007,614.23,472.96
4soft-l1-01h-05,L1-01H-05,3D Stone (brown) with number 8 (beige),3D,L-3D nature,each,147.0,117.6,0.0,flat_uplift,8189.71,7229.47,0.8,floored,14604.98,410.46,352.8,524.8,1592.4433560000007,614.23,472.96
4soft-l1-01i-05,L1-01I-05,3D Stone (brown) with number 9 (beige),3D,L-3D nature,each,147.0,117.6,0.0,flat_uplift,8189.71,7229.47,0.8,floored,14604.98,410.46,352.8,524.8,1592.4433560000007,614.23,472.96
4soft-l1-01j-05,L1-01J-05,3D Stone (brown) with number 0 (beige),3D,L-3D nature,each,147.0,117.6,0.0,flat_uplift,8189.71,7229.47,0.8,floored,14604.98,410.46,352.8,524.8,1592.4433560000007,614.23,472.96
4soft-l1-01k-05,L1-01K-05,3D Stone (brown) with number 10 (beige),3D,L-3D nature,each,147.0,117.6,0.0,flat_uplift,8189.71,7229.47,0.8,floored,14604.98,410.46,352.8,524.8,1592.4433560000007,614.23,472.96
4soft-l1-01z-00,L1-01Z-00,3D Stone with number 0-10 (1 pc) - standard colours,3D,L-3D nature,each,147.0,117.6,0.0,flat_uplift,8189.71,7229.47,0.8,floored,14604.98,410.46,352.8,524.8,1592.4433560000007,614.23,472.96
4soft-l1-01z-50uv,L1-01Z-50UV,3D Stone with number 0-10 (1 pc) - UV colours,3D,L-3D nature,each,179.0,143.2,0.0,flat_uplift,9972.5,8803.23,0.8,floored,17784.29,499.81,429.6,639.04,1939.0976920000003,747.94,575.91
4soft-l1-02a-05,L1-02A-05,Set of 3D Stones with number 1-5 (5 pcs) - brown,3D,L-3D nature,each,721.0,576.8,0.0,flat_uplift,35705.4,35458.8,0.6,floored,63674.63,1789.53,1538.13,2288.01,7810.555508000001,3012.64,2319.73
4soft-l1-02b-05,L1-02B-05,Set of 3D Stones with number 1-10 (10 pcs) - brown,3D,L-3D nature,each,1421.0,1136.8,0.0059,dims_scaled,90439.21,90439.21,1.0563,,161283.26,4532.75,3895.98,5795.36,15000,5942.16,4575.46
4soft-l1-03a-00,L1-03A-00,3D Stone (1 pc) - standard colours,3D,L-3D nature,each,131.0,104.8,0.0,flat_uplift,7298.31,6442.58,0.8,floored,13015.32,365.79,314.4,467.68,1419.1161880000009,547.37,421.48
4soft-l1-03a-02,L1-03A-02,3D Stone (1 pc) - beige,3D,L-3D nature,each,131.0,104.8,0.0,flat_uplift,7298.31,6442.58,0.8,floored,13015.32,365.79,314.4,467.68,1419.1161880000009,547.37,421.48
4soft-l1-03a-05,L1-03A-05,3D Stone (1 pc) - brown,3D,L-3D nature,each,131.0,104.8,0.0059,dims_scaled,14191.16,42975.0,2.5,capped,25307.57,711.25,611.33,909.37,15000,1909.52,1470.33
4soft-l1-03a-50uv,L1-03A-50UV,3D Stone (1 pc) - UV colours,3D,L-3D nature,each,154.0,123.2,0.0,flat_uplift,8579.69,7573.73,0.8,floored,15300.45,430.01,369.6,549.79,1668.2739920000004,643.48,495.48
4soft-l1-03a-58uv,L1-03A-58UV,3D Stone (1 pc) - UV light grey,3D,L-3D nature,each,154.0,123.2,0.0,flat_uplift,8579.69,7573.73,0.8,floored,15300.45,430.01,369.6,549.79,1668.2739920000004,643.48,495.48
4soft-l1-03a-65uv,L1-03A-65UV,3D Stone (1 pc) - UV middle grey,3D,L-3D nature,each,154.0,123.2,0.0,flat_uplift,8579.69,7573.73,0.8,floored,15300.45,430.01,369.6,549.79,1668.2739920000004,643.48,495.48
4soft-l1-04a-01,L1-04A-01,3D Stone (red) with letter A (black),3D,L-3D nature,each,147.0,117.6,0.0059,dims_scaled,15924.43,43563.71,2.5,capped,28398.57,798.12,686.0,1020.44,15000,1959.53,1508.84
4soft-l1-04a-05,L1-04A-05,3D Stone (brown) with letter A (teal),3D,L-3D nature,each,147.0,117.6,0.0,flat_uplift,8189.71,7229.47,0.8,floored,14604.98,410.46,352.8,524.8,1592.4433560000007,614.23,472.96
4soft-l1-04b-57uv,L1-04B-57UV,3D Stone (UV rainbow blue) with letter B (black),3D,L-3D nature,each,179.0,143.2,0.0,flat_uplift,9972.5,8803.23,0.8,floored,17784.29,499.81,429.6,639.04,1939.0976920000003,747.94,575.91
4soft-l1-04c-53uv,L1-04C-53UV,3D Stone (UV may green) with letter C (black),3D,L-3D nature,each,179.0,143.2,0.0,flat_uplift,9972.5,8803.23,0.8,floored,17784.29,499.81,429.6,639.04,1939.0976920000003,747.94,575.91
4soft-l1-04d-52uv,L1-04D-52UV,3D Stone (UV yellow) with letter D (black),3D,L-3D nature,each,179.0,143.2,0.0,flat_uplift,9972.5,8803.23,0.8,floored,17784.29,499.81,429.6,639.04,1939.0976920000003,747.94,575.91
4soft-l1-04e-01,L1-04E-01,3D Stone (red) with letter E (black),3D,L-3D nature,each,147.0,117.6,0.0,flat_uplift,8189.71,7229.47,0.8,floored,14604.98,410.46,352.8,524.8,1592.4433560000007,614.23,472.96
4soft-l1-04e-05,L1-04E-05,3D Stone (brown) with letter E (teal),3D,L-3D nature,each,147.0,117.6,0.0,flat_uplift,8189.71,7229.47,0.8,floored,14604.98,410.46,352.8,524.8,1592.4433560000007,614.23,472.96
4soft-l1-04f-57uv,L1-04F-57UV,3D Stone (UV rainbow blue) with letter F (black),3D,L-3D nature,each,179.0,143.2,0.0,flat_uplift,9972.5,8803.23,0.8,floored,17784.29,499.81,429.6,639.04,1939.0976920000003,747.94,575.91
4soft-l1-04g-53uv,L1-04G-53UV,3D Stone (UV may green) with letter G (black),3D,L-3D nature,each,179.0,143.2,0.0,flat_uplift,9972.5,8803.23,0.8,floored,17784.29,499.81,429.6,639.04,1939.0976920000003,747.94,575.91
4soft-l1-04s-05,L1-04S-05,3D Stone (brown) with letter S (teal),3D,L-3D nature,each,147.0,117.6,0.0,flat_uplift,8189.71,7229.47,0.8,floored,14604.98,410.46,352.8,524.8,1592.4433560000007,614.23,472.96
4soft-l1-04v-05,L1-04V-05,3D Stone (brown) with letter V (teal),3D,L-3D nature,each,147.0,117.6,0.0,flat_uplift,8189.71,7229.47,0.8,floored,14604.98,410.46,352.8,524.8,1592.4433560000007,614.23,472.96
4soft-l1-04w-05,L1-04W-05,3D Stone (brown) with letter W (teal),3D,L-3D nature,each,147.0,117.6,0.0,flat_uplift,8189.71,7229.47,0.8,floored,14604.98,410.46,352.8,524.8,1592.4433560000007,614.23,472.96
4soft-l1-04z-00,L1-04Z-00,3D Stone with letter A-Z (1 pc) - standard colours,3D,L-3D nature,each,147.0,117.6,0.0,flat_uplift,8189.71,7229.47,0.8,floored,14604.98,410.46,352.8,524.8,1592.4433560000007,614.23,472.96
4soft-l1-04z-50uv,L1-04Z-50UV,3D Stone with letter A-Z - UV colours,3D,L-3D nature,each,179.0,143.2,0.0,flat_uplift,9972.5,8803.23,0.8,floored,17784.29,499.81,429.6,639.04,1939.0976920000003,747.94,575.91
4soft-l1-05a-05,L1-05A-05,Set of 3D Stone (brown) with letter A-Z (teal) (26 pcs),3D,L-3D nature,each,3650.0,2920.0,0.0059,dims_scaled,172452.93,172452.93,0.5265,,307541.06,8643.22,7429.01,11050.81,15000,12910.19,9940.85
4soft-l1-05a-50uv,L1-05A-50UV,Set of 3D Stones with letter A-Z (26 pcs) - other UV colours,3D,L-3D nature,each,4080.0,3264.0,0.0,flat_uplift,200654.55,200654.55,0.589,,357833.95,10056.66,8643.89,12857.97,44198.427840000004,17047.97,13126.93
4soft-l1-06a-00,L1-06A-00,3D Stone with graphics (1 pc) - standard colours,3D,L-3D nature,each,154.0,123.2,0.0059,dims_scaled,16682.74,43821.27,2.5,capped,29750.89,836.13,718.67,1069.03,15000,1981.42,1525.69
4soft-l2-01a-03,L2-01A-03,3D Sun (set of 13 pcs),3D,L-3D nature,set,1194.0,955.2,0.2541,dims_scaled,82086.98,82086.98,1.2212,,146388.45,4114.14,3536.18,5260.14,15000,5232.54,4029.05
4soft-l2-02a-57uv,L2-02A-57UV,3D Cloud - UV rainbow blue,3D,L-3D nature,each,1352.0,1081.6,0.0526,dims_scaled,87900.42,87900.42,1.1006,,156755.75,4405.51,3786.61,5632.67,15000,5726.46,4409.37
4soft-l3-01a-04,L3-01A-04,3D Ant hill - small - signal green,3D,L-3D nature,each,1614.0,1291.2,0.0,flat_uplift,79928.59,79376.57,0.6,floored,142539.32,4005.96,3443.2,5121.83,17484.378072,6743.97,5192.86
4soft-l3-01a-20,L3-01A-20,"3D Ant hill - small - beige, brown",3D,L-3D nature,each,1614.0,1291.2,0.0,flat_uplift,79928.59,79376.57,0.6,floored,142539.32,4005.96,3443.2,5121.83,17484.378072,6743.97,5192.86
4soft-l3-02a-20,L3-02A-20,3D Mushroom-boletus L - without anchor,3D,L-3D nature,each,650.0,520.0,0.0,flat_uplift,32189.33,31967.02,0.6,floored,57404.31,1613.31,1386.67,2062.7,7041.416200000003,2715.97,2091.3
4soft-l3-02b-20,L3-02B-20,3D Mushroom-toadstool L - without anchor,3D,L-3D nature,each,861.0,688.8,0.0,flat_uplift,42638.48,42344.01,0.6,floored,76038.62,2137.01,1836.8,2732.28,9327.168228000002,3597.62,2770.17
4soft-l3-02c-20,L3-02C-20,3D Mushroom MINI-boletus - without anchor,3D,L-3D nature,each,388.0,310.4,0.0,flat_uplift,21616.37,19081.86,0.8,floored,38549.19,1083.4,931.2,1385.18,4203.183824000002,1621.23,1248.35
4soft-l3-02d-55uv,L3-02D-55UV,3D Mushroom MINI-toadstool - without anchor,3D,L-3D nature,each,460.0,368.0,0.0,flat_uplift,25627.66,22622.81,0.8,floored,45702.66,1284.44,1104.0,1642.22,4983.156080000001,1922.07,1480.0
4soft-l3-02e-20,L3-02E-20,3D Mushroom-boletus M - without anchor,3D,L-3D nature,each,615.0,492.0,0.0,flat_uplift,34263.07,30245.72,0.8,floored,61102.47,1717.24,1476.0,2195.58,6662.263020000002,2569.73,1978.69
