handle,item_code,name,dimension,product_group,unit,list_eur,eur_fob,cbm,cbm_method,landed_thb,landed_thb_raw,logistics_pct,logistics_clamp,retail_thb,retail_usd,retail_eur,retail_sgd,freight_thb,duty_thb,vat_thb
4soft-l1-03a-58uv,L1-03A-58UV,3D Stone (1 pc) - UV light grey,3D,L-3D nature,each,154.0,130.9,0.0,flat_uplift,9120.43,8051.05,0.8,floored,16264.77,457.12,392.7,583.66,1773.4161830000003,684.03,526.7
4soft-l1-03a-65uv,L1-03A-65UV,3D Stone (1 pc) - UV middle grey,3D,L-3D nature,each,154.0,130.9,0.0,flat_uplift,9120.43,8051.05,0.8,floored,16264.77,457.12,392.7,583.66,1773.4161830000003,684.03,526.7
4soft-l1-04a-01,L1-04A-01,3D Stone (red) with letter A (black),3D,L-3D nature,each,147.0,124.95,0.0059,dims_scaled,16928.06,26456.16,2.5,capped,30188.37,848.45,728.87,1083.31,133.02,501.8,386.38
4soft-l1-04a-05,L1-04A-05,3D Stone (brown) with letter A (teal),3D,L-3D nature,each,147.0,124.95,0.0,flat_uplift,8705.86,7685.1,0.8,floored,15525.45,436.35,374.85,557.13,1692.8063565000002,652.94,502.76
4soft-l1-04b-57uv,L1-04B-57UV,3D Stone (UV rainbow blue) with letter B (black),3D,L-3D nature,each,179.0,152.15,0.0,flat_uplift,10601.01,9358.05,0.8,floored,18905.13,531.33,456.45,678.41,2061.3084205000005,795.08,612.21
4soft-l1-04c-53uv,L1-04C-53UV,3D Stone (UV may green) with letter C (black),3D,L-3D nature,each,179.0,152.15,0.0,flat_uplift,10601.01,9358.05,0.8,floored,18905.13,531.33,456.45,678.41,2061.3084205000005,795.08,612.21
4soft-l1-04d-52uv,L1-04D-52UV,3D Stone (UV yellow) with letter D (black),3D,L-3D nature,each,179.0,152.15,0.0,flat_uplift,10601.01,9358.05,0.8,floored,18905.13,531.33,456.45,678.41,2061.3084205000005,795.08,612.21
4soft-l1-04e-01,L1-04E-01,3D Stone (red) with letter E (black),3D,L-3D nature,each,147.0,124.95,0.0,flat_uplift,8705.86,7685.1,0.8,floored,15525.45,436.35,374.85,557.13,1692.8063565000002,652.94,502.76
4soft-l1-04e-05,L1-04E-05,3D Stone (brown) with letter E (teal),3D,L-3D nature,each,147.0,124.95,0.0,flat_uplift,8705.86,7685.1,0.8,floored,15525.45,436.35,374.85,557.13,1692.8063565000002,652.94,502.76
4soft-l1-04f-57uv,L1-04F-57UV,3D Stone (UV rainbow blue) with letter F (black),3D,L-3D nature,each,179.0,152.15,0.0,flat_uplift,10601.01,9358.05,0.8,floored,18905.13,531.33,456.45,678.41,2061.3084205000005,795.08,612.21
4soft-l1-04g-53uv,L1-04G-53UV,3D Stone (UV may green) with letter G (black),3D,L-3D nature,each,179.0,152.15,0.0,flat_uplift,10601.01,9358.05,0.8,floored,18905.13,531.33,456.45,678.41,2061.3084205000005,795.08,612.21
4soft-l1-04s-05,L1-04S-05,3D Stone (brown) with letter S (teal),3D,L-3D nature,each,147.0,124.95,0.0,flat_uplift,8705.86,7685.1,0.8,floored,15525.45,436.35,374.85,557.13,1692.8063565000002,652.94,502.76
4soft-l1-04v-05,L1-04V-05,3D Stone (brown) with letter V (teal),3D,L-3D nature,each,147.0,124.95,0.0,flat_uplift,8705.86,7685.1,0.8,floored,15525.45,436.35,374.85,557.13,1692.8063565000002,652.94,502.76
4soft-l1-04w-05,L1-04W-05,3D Stone (brown) with letter W (teal),3D,L-3D nature,each,147.0,124.95,0.0,flat_uplift,8705.86,7685.1,0.8,floored,15525.45,436.35,374.85,557.13,1692.8063565000002,652.94,502.76
4soft-l1-04z-00,L1-04Z-00,3D Stone with letter A-Z (1 pc) - standard colours,3D,L-3D nature,each,147.0,124.95,0.0,flat_uplift,8705.86,7685.1,0.8,floored,15525.45,436.35,374.85,557.13,1692.8063565000002,652.94,502.76
4soft-l1-04z-50uv,L1-04Z-50UV,3D Stone with letter A-Z - UV colours,3D,L-3D nature,each,179.0,152.15,0.0,flat_uplift,10601.01,9358.05,0.8,floored,18905.13,531.33,456.45,678.41,2061.3084205000005,795.08,612.21
4soft-l1-05a-05,L1-05A-05,Set of 3D Stone (brown) with letter A-Z (teal) (26 pcs),3D,L-3D nature,each,3650.0,3102.5,0.0059,dims_scaled,174133.68,163468.56,0.45,floored,310538.4,8727.74,7497.71,11143.69,133.02,12142.61,9349.81
4soft-l1-05a-50uv,L1-05A-50UV,Set of 3D Stones with letter A-Z (26 pcs) - other UV colours,3D,L-3D nature,each,4080.0,3468.0,0.0,flat_uplift,213300.71,213300.71,0.589,,380386.27,10690.83,9184.13,13650.18,46984.01316,18122.41,13954.25
4soft-l1-06a-00,L1-06A-00,3D Stone with graphics (1 pc) - standard colours,3D,L-3D nature,each,154.0,130.9,0.0059,dims_scaled,17734.16,26729.94,2.5,capped,31625.92,888.85,763.58,1134.9,133.02,525.06,404.3
