item_code,eur_fob,matched,match_strategy,cbm,cbm_method,landed_thb,landed_thb_raw,logistics_pct,logistics_clamp,retail_thb,retail_usd,retail_eur,freight_thb,duty_thb,vat_thb,note
RB1921,4788.0,True,exact,0.4158,dims_scaled,280109.66,280109.66,0.5114,,466849.43,14193.62,12060.74,15000,40437.64,16983.81,
RB1920,2310.0,True,exact,0.1616,dims_scaled,155718.17,155718.17,0.7415,,259530.28,7890.5,6704.79,15000,21062.02,8846.05,
RB1306,1780.0,True,exact,0.3193,dims_scaled,129113.05,129113.05,0.8739,,215188.42,6542.37,5559.25,15000,16917.92,7105.53,
RB1307,3329.0,True,exact,0.723,dims_scaled,206870.28,206870.28,0.6054,,344783.8,10482.46,8907.25,15000,29029.64,12192.45,
RB1308,3245.0,True,exact,0.8809,dims_scaled,202653.62,202653.62,0.6134,,337756.03,10268.79,8725.7,15000,28372.84,11916.59,
RB1309,5387.0,True,exact,1.4337,dims_scaled,310178.46,310178.46,0.4875,,516964.1,15717.26,13355.42,15000,45121.26,18950.93,
RB1208,8684.0,True,exact,1.0873,dims_scaled,487405.91,475682.4,0.45,floored,812343.18,24697.66,20986.33,15000,70900.69,29778.29,
RB1209,14406.0,True,exact,7.1456,dims_scaled,792463.37,792463.37,0.4211,,1320772.28,40155.43,34121.25,38010.95,120243.52,50502.28,
RB1201,1726.0,True,exact,0.2025,dims_scaled,126402.34,126402.34,0.892,,210670.57,6405.02,5442.53,15000,16495.69,6928.19,
RB1202,2066.0,True,exact,0.324,dims_scaled,143469.77,143469.77,0.794,,239116.28,7269.85,6177.41,15000,19154.17,8044.75,
RB1203,4279.0,True,exact,0.2734,dims_scaled,254558.7,254558.7,0.5369,,424264.5,12898.91,10960.58,15000,36457.74,15312.25,
RB1205,4576.0,True,exact,1.0098,dims_scaled,269467.61,269467.61,0.5213,,449112.68,13654.37,11602.52,15000,38780.0,16287.6,
RB1206,5978.0,True,exact,1.5829,dims_scaled,339845.69,339845.69,0.4687,,566409.48,17220.54,14632.8,15000,49742.32,20891.77,
RB1207,9666.0,True,exact,1.7452,dims_scaled,542522.52,524977.18,0.45,floored,904204.2,27490.51,23359.5,15000,78579.0,33003.18,
RB1211,5387.0,True,exact,3.4155,dims_scaled,314247.1,314247.1,0.507,,523745.17,15923.42,13530.6,18168.72,45755.0,19217.1,
RB1316,4199.0,True,exact,2.7287,dims_scaled,250542.84,250542.84,0.5415,,417571.4,12695.42,10787.67,15000,35832.22,15049.53,
RB1384,4515.0,True,exact,2.8249,dims_scaled,266440.22,266440.22,0.5245,,444067.03,13500.97,11472.17,15027.03,38308.45,16089.55,
RB1305,3616.0,True,exact,3.1799,dims_scaled,223736.64,223736.64,0.5985,,372894.4,11337.11,9633.47,16915.45,31656.8,13295.86,
RB1301,2495.0,True,exact,0.7766,dims_scaled,165004.86,165004.86,0.7085,,275008.1,8361.07,7104.65,15000,22508.55,9453.59,
RB1302,3232.0,True,exact,1.6328,dims_scaled,202001.04,202001.04,0.6147,,336668.4,10235.73,8697.6,15000,28271.19,11873.9,
RB1314,8694.0,True,exact,7.8874,dims_scaled,510797.11,510797.11,0.5178,,851328.52,25882.93,21993.49,41956.95,76370.27,32075.51,
RB1313,5098.0,True,exact,3.5572,dims_scaled,300707.63,300707.63,0.5238,,501179.38,15237.35,12947.63,18922.49,43646.05,18331.34,
RB1315,12443.0,True,exact,22.2196,dims_scaled,796882.84,796882.84,0.6545,,1328138.07,40379.37,34311.54,118196.94,120931.91,50791.4,
RB1311,5667.0,True,exact,4.1513,dims_scaled,333328.32,333328.32,0.5196,,555547.2,16890.3,14352.18,22082.8,48727.15,20465.4,
RB1215,9297.0,True,exact,0.5292,dims_scaled,521811.7,506453.99,0.45,floored,869686.17,26441.06,22467.75,15000,75693.77,31791.38,
RB1216,8190.0,True,exact,8.3232,dims_scaled,488473.75,488473.75,0.5408,,814122.92,24751.77,21032.31,44275.18,72893.11,30615.11,
RB1217,16084.0,True,exact,1.2682,dims_scaled,847150.14,847150.14,0.3607,,1411916.9,42926.5,36475.91,15000,128761.7,54079.92,
RB1241,2937.0,True,exact,0.3217,dims_scaled,187192.53,187192.53,0.6466,,311987.55,9485.35,8059.99,15000,25964.57,10905.12,
RB1243,2199.0,True,exact,0.0829,dims_scaled,150146.16,150146.16,0.7639,,250243.6,7608.15,6464.87,15000,20194.11,8481.52,
RB1244,1846.0,True,exact,0.1989,dims_scaled,132426.14,132426.14,0.8533,,220710.23,6710.25,5701.9,15000,17433.98,7322.27,
RB1245,4633.0,True,exact,0.3709,dims_scaled,272328.92,272328.92,0.5185,,453881.53,13799.36,11725.72,15000,39225.69,16474.79,
RB1242,4797.0,True,exact,1.458,dims_scaled,280561.45,280561.45,0.511,,467602.42,14216.51,12080.19,15000,40508.01,17013.37,
RB1246,9297.0,True,exact,1.0894,dims_scaled,521811.7,506453.99,0.45,floored,869686.17,26441.06,22467.75,15000,75693.77,31791.38,
RB1247,23520.0,True,exact,10.8756,dims_scaled,1275447.81,1275447.81,0.4009,,2125746.35,64629.05,54917.21,57852.65,195474.74,82099.39,
RB1232,2495.0,True,exact,0.792,dims_scaled,165004.86,165004.86,0.7085,,275008.1,8361.07,7104.65,15000,22508.55,9453.59,
