handle,item_code,name,page,list_eur,remarks,status
berliner-90-100-601-000-19,90.100.601.000.19,Spaceball XL,182,25778.0,stainless steel,active
berliner-90-134-066,90.134.066,Spaceball M.01,182,28227.0,,active
berliner-90-100-111-000-10,90.100.111.000.10,Spaceball L,183,16503.0,,active
berliner-90-100-111-900-10,90.100.111.900.10,Spaceball L,183,19498.0,stainless steel,active
berliner-90-100-041-000-10,90.100.041.000.10,Spaceball M,183,14861.0,,active
berliner-90-100-041-000-19,90.100.041.000.19,Spaceball M,183,18139.0,stainless steel,active
berliner-90-100-031-000-10,90.100.031.000.10,Spaceball S,183,13786.0,,active
berliner-90-100-031-900-00,90.100.031.900.00,Spaceball S,183,16051.0,stainless steel,active
berliner-90-100-020,90.100.020,Venus,184,10063.0,,active
berliner-90-141-413,90.141.413,Mini Mars.03,184,13468.0,,active
berliner-99-100-015,99.100.015,Maxi Mars,185,7289.0,,active
berliner-90-100-010,90.100.010,Mars,185,6558.0,,active
berliner-98-100-010,98.100.010,Mini Mars,185,5098.0,,active
berliner-90-140-845,90.140.845,Pegasus.02,186,80742.0,,active
berliner-90-100-075,90.100.075,Uranus,186,41111.0,,active
berliner-90-141-248,90.141.248,Roanoke Park,187,110553.0,,active
berliner-transfer-station-2,,Transfer Station,188,6893.0,,name_only_active
berliner-duck-jibe-spaceball-xl,,Duck Jibe Spaceball XL,188,9292.0,,name_only_active
berliner-hammock,,Hammock,188,2454.0,Incl. swivel joints,name_only_active
berliner-hand-over-hand-ladder,,Hand-over-Hand Ladder,188,389.0,Price first meter incl. all end fixings,name_only_active
berliner-hand-over-hand-ladder-2,,Hand-over-Hand Ladder,188,176.0,Every additional linear meter up to 7 m total length,name_only_active
berliner-loop-rope,,Loop Rope,188,202.0,Price first meter incl. all end fixings,name_only_active
berliner-loop-rope-2,,Loop Rope,188,106.0,Every additional linear meter up to 7 m total length,name_only_active
berliner-rope-ladder-spaceball-xl,,Rope Ladder Spaceball XL,188,505.0,Incl. fixings to structure and incl. ground fixings,name_only_active
berliner-rope-ladder-spaceball-l-neptun-phoenix,,Rope Ladder Spaceball L/Neptun/Phoenix,188,389.0,Incl. fixings to structure and incl. ground fixings,name_only_active
berliner-rope-ladder-spaceball-m-jupiter-pluto,,Rope Ladder Spaceball M/Jupiter/Pluto,188,329.0,Incl. fixings to structure and incl. ground fixings,name_only_active
berliner-rope-ladder-spaceball-s-mini-jupiter,,Rope Ladder Spaceball S/Mini Jupiter,188,278.0,Incl. fixings to structure and incl. ground fixings,name_only_active
berliner-climbing-rope-spaceball-xl,,Climbing Rope Spaceball XL,188,477.0,Incl. fixings to structure and incl. ground fixings,name_only_active
berliner-climbing-rope-spaceball-l-neptun-phoenix,,Climbing Rope Spaceball L/Neptun/Phoenix,188,261.0,Incl. fixings to structure and incl. ground fixings,name_only_active
berliner-climbing-rope-spaceball-m-jupiter-pluto,,Climbing Rope Spaceball M/Jupiter/Pluto,188,227.0,Incl. fixings to structure and incl. ground fixings,name_only_active
berliner-climbing-rope-spaceball-s-mini-jupiter,,Climbing Rope Spaceball S/Mini Jupiter,188,192.0,Incl. fixings to structure and incl. ground fixings,name_only_active
berliner-balancing-cable-bridge,,Balancing Cable Bridge,188,2188.0,3 m with bridge stand,name_only_active
berliner-jungle-bridge,,Jungle Bridge,188,1424.0,Price first meter incl. all end fixings,name_only_active
berliner-jungle-bridge-2,,Jungle Bridge,188,672.0,Every additional linear meter up to 7 m total length,name_only_active
berliner-net-tunnel-3,,Net Tunnel,188,1097.0,Price first meter incl. all end fixings,name_only_active
